id,name,entity_type,summary,aliases,operator,base_geography_kind,base_geography_code,countries_covered,stages,focuses,official_website,founder_route,sources,verified_on,source_profile,dataset_version,dataset_date,license
accelerator:founder-institute-latam,Founder Institute LatAm Fall 2026,accelerator,Founder Institute LatAm Fall 2026 is a structured acceleration program operated by Founder Institute.,[],Founder Institute,country,US,"[""LATAM""]","[""pre_seed""]","[""not_disclosed""]",https://fi.co/core/14694,https://fi.co/core/14694,"[{""kind"":""official_application"",""title"":""Founder Institute LatAm Fall 2026"",""url"":""https://fi.co/core/14694""}]",2026-07-27,ecosystem/accelerators/united-states/founder-institute-latam.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:ganesha-go-europe,"The Ganesha Lab, Go Europe Connect",accelerator,"The Ganesha Lab, Go Europe Connect is a structured acceleration program operated by The Ganesha Lab.","[""The Ganesha Lab"",""Go Europe Connect 2026""]",The Ganesha Lab,country,CL,"[""LATAM""]","[""not_disclosed""]","[""not_disclosed""]",https://theganeshalab.com/go-europe-connect-2026/,https://forms.office.com/pages/responsepage.aspx?id=1bCPJMkQPUitABqAub20sthbAhhbSulAjPd-GERpdGBUN1oxWlg2U0dTRDhHRlVLQUVBOFhaVFJWWCQlQCN0PWcu&lang=en-US&route=shorturl,"[{""kind"":""official_website"",""title"":""Our programs"",""url"":""https://theganeshalab.com/programs/""},{""kind"":""official_website"",""title"":""Go Europe Connect 2026"",""url"":""https://theganeshalab.com/go-europe-connect-2026/""}]",2026-07-27,ecosystem/accelerators/chile/ganesha-go-europe.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:gb-ventures,Programa de Aceleração GB Ventures,accelerator,Programa de Aceleração GB Ventures is a structured acceleration program operated by Grupo Boticário.,"[""Aceleração Grupo Boticário"",""GB Ventures 6ª edição""]",Grupo Boticário,country,BR,"[""BR""]","[""not_disclosed""]","[""not_disclosed""]",https://ventures.grupoboticario.com.br/aceleracao,https://ventures.grupoboticario.com.br/aceleracao,"[{""kind"":""official_website"",""title"":""Selecionadas Programa Aceleração"",""url"":""https://ventures.grupoboticario.com.br/novidades/startupsselecionadas2026""}]",2026-07-27,ecosystem/accelerators/brazil/gb-ventures.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:google-ai-cybersecurity-latam,Google for Startups Accelerator: AI for Cybersecurity Latin America,accelerator,Google for Startups Accelerator: AI for Cybersecurity Latin America is a structured acceleration program operated by Google for Startups.,[],Google for Startups,country,US,"[""LATAM""]","[""not_disclosed""]","[""not_disclosed""]",https://blog.google/company-news/outreach-and-initiatives/entrepreneurs/google-for-startups-ai-for-cybersecurity-cohort/,https://blog.google/company-news/outreach-and-initiatives/entrepreneurs/google-for-startups-ai-for-cybersecurity-cohort/,"[{""kind"":""official_application"",""title"":""Google for Startups Accelerator: AI for Cybersecurity Latin America"",""url"":""https://blog.google/company-news/outreach-and-initiatives/entrepreneurs/google-for-startups-ai-for-cybersecurity-cohort/""}]",2026-07-27,ecosystem/accelerators/united-states/google-ai-cybersecurity-latam.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:google-for-startups-brazil,Google for Startups Accelerator: Brazil,accelerator,Google for Startups Accelerator: Brazil is a structured acceleration program operated by Google for Startups.,"[""Google Accelerator Brasil""]",Google for Startups,country,US,"[""BR""]","[""seed"",""series_a""]","[""not_disclosed""]",https://startup.google.com.br/intl/pt-BR/programs/accelerator/brazil/,https://startup.google.com.br/intl/pt-BR/programs/accelerator/brazil/,"[{""kind"":""official_application"",""title"":""Google for Startups Accelerator: Brazil"",""url"":""https://startup.google.com.br/intl/pt-BR/programs/accelerator/brazil/""}]",2026-07-27,ecosystem/accelerators/united-states/google-for-startups-brazil.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:grid-transform,GRIDX Transform,accelerator,GRIDX Transform is a structured acceleration program operated by GRIDX.,[],GRIDX,country,AR,"[""LATAM""]","[""not_disclosed""]","[""not_disclosed""]",https://www.gridexponential.com/es/aplicar-como-emprendedor,https://www.gridexponential.com/es/aplicar-como-emprendedor,"[{""kind"":""official_application"",""title"":""GRIDX Transform"",""url"":""https://www.gridexponential.com/es/aplicar-como-emprendedor""}]",2026-07-27,ecosystem/accelerators/argentina/grid-transform.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:innovalab,Aceleradora InnovaLab Mujeres Tech,accelerator,Aceleradora InnovaLab Mujeres Tech is a structured acceleration program operated by Cámara de Comercio de Bogotá.,[],Cámara de Comercio de Bogotá,country,CO,"[""CO""]","[""not_disclosed""]","[""not_disclosed""]",https://www.ccb.org.co/es/servicios/haz-crecer-tu-empresa/innovacion-empresarial/aceleradora-innovalab,https://www.ccb.org.co/es/servicios/haz-crecer-tu-empresa/innovacion-empresarial/aceleradora-innovalab,"[{""kind"":""official_application"",""title"":""Aceleradora InnovaLab Mujeres Tech"",""url"":""https://www.ccb.org.co/es/servicios/haz-crecer-tu-empresa/innovacion-empresarial/aceleradora-innovalab""}]",2026-07-27,ecosystem/accelerators/colombia/innovalab.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:inovativa-brasil,InovAtiva Brasil,accelerator,InovAtiva Brasil is a structured acceleration program operated by InovAtiva.,"[""InovAtiva""]",InovAtiva,country,BR,"[""BR""]","[""not_disclosed""]","[""not_disclosed""]",https://www.inovativa.online/inovativa-brasil/,https://www.inovativa.online/inovativa-brasil/,"[{""kind"":""official_application"",""title"":""InovAtiva Brasil"",""url"":""https://www.inovativa.online/inovativa-brasil/""},{""kind"":""secondary"",""title"":""Quem pode se inscrever nos programas InovAtiva"",""url"":""https://www.gov.br/mdic/pt-br/acesso-a-informacao/perguntas-frequentes-faq/secretaria-de-desenvolvimento-industrial-inovacao-comercio-e-servicos/quem-pode-se-inscrever-e""}]",2026-07-27,ecosystem/accelerators/brazil/inovativa-brasil.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:magical,Magical Accelerator,accelerator,Magical Accelerator is a structured acceleration program operated by Magical Startups.,[],Magical Startups,country,CL,"[""LATAM""]","[""not_disclosed""]","[""not_disclosed""]",https://magicalstartups.com/accelerator/,https://magicalstartups.com/accelerator/,"[{""kind"":""official_application"",""title"":""Magical Accelerator"",""url"":""https://magicalstartups.com/accelerator/""}]",2026-07-27,ecosystem/accelerators/chile/magical.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:parallel18,P18,accelerator,P18 is a structured acceleration program operated by Parallel18.,[],Parallel18,country,PR,"[""GLOBAL"",""PR""]","[""not_disclosed""]","[""not_disclosed""]",https://parallel18.com/p18/,https://parallel18.com/p18/,"[{""kind"":""official_application"",""title"":""P18"",""url"":""https://parallel18.com/p18/""}]",2026-07-27,ecosystem/accelerators/puerto-rico/parallel18.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:seedstars-lif-caf-rural-tech,LIF CAF Rural Tech,accelerator,LIF CAF Rural Tech is a structured acceleration program operated by Seedstars.,[],Seedstars,country,CH,"[""CARIBBEAN"",""LATAM""]","[""not_disclosed""]","[""not_disclosed""]",https://www.seedstars.com/community/entrepreneurs/programs/,https://www.seedstars.com/community/entrepreneurs/programs/,"[{""kind"":""official_application"",""title"":""LIF CAF Rural Tech"",""url"":""https://www.seedstars.com/community/entrepreneurs/programs/""}]",2026-07-27,ecosystem/accelerators/switzerland/seedstars-lif-caf-rural-tech.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:tecnoparq-acelera,tecnoPARQ Acelera,accelerator,tecnoPARQ Acelera is a structured acceleration program operated by tecnoPARQ / CENTEV-UFV.,"[""tecnoPARQ Acelera 2026""]",tecnoPARQ / CENTEV-UFV,country,BR,"[""BR""]","[""not_disclosed""]","[""not_disclosed""]",https://centev.ufv.br/servico/tecnoparq-acelera/,https://centev.ufv.br/servico/tecnoparq-acelera/,"[{""kind"":""official_application"",""title"":""tecnoPARQ Acelera, 8ª edição 2026"",""url"":""https://centev.ufv.br/servico/tecnoparq-acelera/""}]",2026-07-27,ecosystem/accelerators/brazil/tecnoparq-acelera.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:utec,Aceleradora UTEC Ventures,accelerator,Aceleradora UTEC Ventures is a structured acceleration program operated by UTEC Ventures.,[],UTEC Ventures,country,PE,"[""PE""]","[""not_disclosed""]","[""not_disclosed""]",https://utecventures.com/startups/aceleradora-uv,https://utecventures.com/startups/aceleradora-uv,"[{""kind"":""official_application"",""title"":""Aceleradora UTEC Ventures - 15G"",""url"":""https://utecventures.com/startups/aceleradora-uv""}]",2026-07-27,ecosystem/accelerators/peru/utec.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:ventiur-acelera-impacto,Acelera Impacto,accelerator,Acelera Impacto is a structured acceleration program operated by Ventiur.,"[""Ventiur Acelera Impacto""]",Ventiur,country,BR,"[""BR""]","[""not_disclosed""]","[""not_disclosed""]",https://conteudo.ventiur.net/acelera-impacto,https://conteudo.ventiur.net/acelera-impacto,"[{""kind"":""official_application"",""title"":""Acelera Impacto"",""url"":""https://conteudo.ventiur.net/acelera-impacto""}]",2026-07-27,ecosystem/accelerators/brazil/ventiur-acelera-impacto.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:wow,WOW Acceleration Program,accelerator,WOW Acceleration Program is a structured acceleration program operated by WOW.,"[""WOW Aceleradora"",""WOW Batch 35""]",WOW,country,BR,"[""BR""]","[""not_disclosed""]","[""not_disclosed""]",https://www.wow.ac/,https://www.wow.ac/como-funciona,"[{""kind"":""official_application"",""title"":""Como funciona a aceleração"",""url"":""https://www.wow.ac/como-funciona""}]",2026-07-27,ecosystem/accelerators/brazil/wow.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:y-combinator,Y Combinator Fall 2026,accelerator,Y Combinator Fall 2026 is a structured acceleration program operated by Y Combinator.,[],Y Combinator,country,US,"[""GLOBAL""]","[""growth""]","[""not_disclosed""]",https://www.ycombinator.com/apply,https://www.ycombinator.com/apply,"[{""kind"":""official_application"",""title"":""Y Combinator Fall 2026"",""url"":""https://www.ycombinator.com/apply""}]",2026-07-27,ecosystem/accelerators/united-states/y-combinator.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:angelhub,AngelHub,angel_network,members,[],AngelHub,country,MX,"[""LATAM"",""MX""]","[""angel""]","[""not_disclosed""]",https://www.angelhub.mx/,,"[{""kind"":""official_thesis"",""title"":""AngelHub investment thesis, check range, and process"",""url"":""https://www.angelhub.mx/""},{""kind"":""official_activity"",""title"":""Official July 2026 batch activity"",""url"":""https://es.linkedin.com/posts/angelhubclub_ecuadortechweek-startupgrind-vcreversepitch-activity-7483629335380336640-eJ6F""}]",2026-07-27,ecosystem/angel-networks/mexico/angelhub.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:anjos-do-brasil,Anjos do Brasil,angel_network,June 2026,[],Anjos do Brasil,country,BR,"[""BR""]","[""angel""]","[""not_disclosed""]",https://anjosdobrasil.net/,https://anjosdobrasil.net/submeter-startup/,"[{""kind"":""official_thesis"",""title"":""About Anjos do Brasil"",""url"":""https://anjosdobrasil.net/sobre-nos/""},{""kind"":""official_application"",""title"":""Submit a startup"",""url"":""https://anjosdobrasil.net/submeter-startup/""},{""kind"":""official_thesis"",""title"":""About us in English and operating disclaimer"",""url"":""https://anjosdobrasil.net/about-us-in-english/""},{""kind"":""official_activity"",""title"":""Official 2026 activity"",""url"":""https://anjosdobrasil.net/pesquisa-anual-investimento-anjo-2026-anjos-do-brasil/""}]",2026-07-27,ecosystem/angel-networks/brazil/anjos-do-brasil.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:br-angels,BR Angels,angel_network,"BR Angels receives startup applications and uses screening, evaluation groups, committees, and recurring pitch events.",[],BR Angels,country,BR,"[""BR"",""GLOBAL"",""LATAM""]","[""angel""]","[""not_disclosed""]",https://www.brangels.global/,https://app.pipefy.com/public/form/sevD52HK,"[{""kind"":""official_application"",""title"":""BR Angels startup journey and application"",""url"":""https://startup.brangels.com.br/""},{""kind"":""official_application"",""title"":""Official startup application"",""url"":""https://app.pipefy.com/public/form/sevD52HK""},{""kind"":""official_activity"",""title"":""Official November 2025 investment activity"",""url"":""https://brangels.global/greentable-nova-investida-brangels/""}]",2026-07-27,ecosystem/angel-networks/brazil/br-angels.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:business-angels-club,Business Angels Club EmprendeIAE,angel_network,The network accepts external founder submissions through its official route.,"[""BAC"",""Business Angels Club""]",Business Angels Club EmprendeIAE,country,AR,"[""AR"",""LATAM""]","[""angel""]","[""not_disclosed""]",https://businessangelsclub.org/,https://businessangelsclub.org/para-fundadores.html,"[{""kind"":""official_application"",""title"":""Para fundadores — Business Angels Club"",""url"":""https://businessangelsclub.org/para-fundadores.html""},{""kind"":""secondary"",""title"":""Publicações do Business Angels Club — Business Angels Club"",""url"":""https://ar.linkedin.com/company/business-angels-club-emprendeiae""}]",2026-07-27,ecosystem/angel-networks/argentina/business-angels-club.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:curitiba-angels,Curitiba Angels,angel_network,The network accepts external founder submissions through its official route.,[],Curitiba Angels,country,BR,"[""BR""]","[""angel""]","[""not_disclosed""]",https://www.curitibaangels.com.br/,https://www.curitibaangels.com.br/,"[{""kind"":""official_application"",""title"":""Curitiba Angels — Curitiba Angels"",""url"":""https://www.curitibaangels.com.br/""},{""kind"":""official_website"",""title"":""Tendências e Panorama do Venture Capital para 2025 — Curitiba Angels"",""url"":""https://www.curitibaangels.com.br/tendencias-e-panorama-do-venture-capital-para-2025-insights-do-nosso-evento-para-investidores-e-startups/""}]",2026-07-27,ecosystem/angel-networks/brazil/curitiba-angels.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:enlaces,Enlaces,angel_network,The network accepts external founder submissions through its official route.,[],Enlaces,country,DO,"[""DO"",""LATAM""]","[""angel""]","[""not_disclosed""]",https://enlaces.org.do/,https://enlaces.org.do/somete-tu-proyecto/,"[{""kind"":""official_website"",""title"":""Preguntas frecuentes — Enlaces"",""url"":""https://enlaces.org.do/preguntas-frecuentes/""},{""kind"":""secondary"",""title"":""Startup do portfólio anuncia nova rodada — Enlaces"",""url"":""https://es.linkedin.com/posts/enlaces-red-de-inversionistas-angeles_us53-millones-para-financiar-el-crecimiento-activity-7485823145283756032-0W8w""}]",2026-07-27,ecosystem/angel-networks/dominican-republic/enlaces.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:firstangels-caribbean,FirstAngels Caribbean,angel_network,The network accepts external founder submissions through its official route.,"[""FirstAngels Jamaica"",""FirstAngelsJA""]",FirstAngels Caribbean,country,JM,"[""CARIBBEAN"",""JM""]","[""angel""]","[""not_disclosed""]",https://firstangelscaribbean.com/,https://firstangelscaribbean.com/,"[{""kind"":""official_website"",""title"":""Investor FAQ — FirstAngels Caribbean"",""url"":""https://firstangelscaribbean.com/investor-faq/""},{""kind"":""official_website"",""title"":""Celebrating a Decade of Impact — FirstAngels Caribbean"",""url"":""https://firstangelscaribbean.com/2024/08/28/celebrating-a-decade/""}]",2026-07-27,ecosystem/angel-networks/jamaica/firstangels-caribbean.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:gvangels,GVAngels,angel_network,July 2026,[],"GVAngels, a nonprofit FGV alumni association",country,BR,"[""BR""]","[""angel""]","[""not_disclosed""]",https://gvangels.com.br/,https://app.dealum.com/#/company/application/new/53851/usveyzos5n2gm9hdm324ngpeix7uu9g7,"[{""kind"":""official_thesis"",""title"":""About GVAngels"",""url"":""https://gvangels.com.br/quem-somos""},{""kind"":""official_website"",""title"":""GVAngels FAQ and member decision process"",""url"":""https://gvangels.com.br/faq""},{""kind"":""official_application"",""title"":""GVAngels investment thesis and application"",""url"":""https://gvangels.com.br/conheca-nossa-tese""},{""kind"":""official_application"",""title"":""Official startup application"",""url"":""https://app.dealum.com/#/company/application/new/53851/usveyzos5n2gm9hdm324ngpeix7uu9g7""},{""kind"":""official_activity"",""title"":""Official July 2026 activity"",""url"":""https://gvangels.com.br/blog/postagem/investimento-anjo""}]",2026-07-27,ecosystem/angel-networks/brazil/gvangels.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:puc-angels,PUC angels,angel_network,The network accepts external founder submissions through its official route.,[],PUC angels,country,BR,"[""BR""]","[""angel""]","[""not_disclosed""]",https://pucangels.org/,https://pucangels.org/iniciativas/programa-investimento,"[{""kind"":""official_application"",""title"":""Programa Investimento — PUC angels"",""url"":""https://pucangels.org/iniciativas/programa-investimento""},{""kind"":""official_website"",""title"":""Destaques PUC angels — PUC angels"",""url"":""https://pucangels.org/iniciativas/Destaques""}]",2026-07-27,ecosystem/angel-networks/brazil/puc-angels.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:red-angeles-uc,Red Ángeles do Centro de Innovación UC,angel_network,The network accepts external founder submissions through its official route.,"[""Red Ángeles UC""]",Red Ángeles do Centro de Innovación UC,country,CL,"[""CL""]","[""angel""]","[""not_disclosed""]",https://centrodeinnovacion.uc.cl/red-angeles/,https://centrodeinnovacion.uc.cl/red-angeles/,"[{""kind"":""official_application"",""title"":""Red Ángeles — Centro de Innovación UC"",""url"":""https://centrodeinnovacion.uc.cl/red-angeles/""},{""kind"":""official_website"",""title"":""Red Ángeles abre convocatória para investidores e startups — Centro de Innovación UC"",""url"":""https://centrodeinnovacion.uc.cl/noticias/red-angeles-del-centro-de-innovacion-uc-abre-convocatoria-para-inversionistas-y-startups/""}]",2026-07-27,ecosystem/angel-networks/chile/red-angeles-uc.md,2026-07-27,2026-07-27,CC0-1.0
angel_network:urca-angels,Urca Angels,angel_network,`contact@urcaangels.com`,[],Urca Angels,country,BR,"[""BR""]","[""angel""]","[""not_disclosed""]",https://www.urcaangels.com/,,"[{""kind"":""official_application"",""title"":""Urca Angels overview, criteria, portfolio, and pitch process"",""url"":""https://www.urcaangels.com/""},{""kind"":""official_activity"",""title"":""Official April 2025 investment activity"",""url"":""https://pt.linkedin.com/posts/urcaangels_coalize-de-solu%C3%A7%C3%B5es-para-gest%C3%A3o-de-rh-e-activity-7322380522268123137-9Up6""}]",2026-07-27,ecosystem/angel-networks/brazil/urca-angels.md,2026-07-27,2026-07-27,CC0-1.0
fund:1616v,1616V,fund,"1616V is a recurring venture investor with a direct portfolio, operational presence in São Paulo, and access across Latin America and the United States.",[],,region,LATAM,"[""LATAM"",""US""]","[""not_disclosed""]","[""not_disclosed""]",https://www.1616ventures.com/,,"[{""kind"":""official_portfolio"",""title"":""1616 Ventures"",""url"":""https://www.1616ventures.com/""},{""kind"":""official_activity"",""title"":""Neofin levanta R$ 35 milhões em rodada seed"",""url"":""https://www.neofin.com.br/release/janeiro-2025""}]",2026-07-30,funds/multi-country/1616v.md,2026-07-27,2026-07-27,CC0-1.0
fund:17-sigma,17-Sigma,fund,17-Sigma is an early-stage venture fund with a recurring Latin American portfolio and an office in São Paulo.,[],,region,LATAM,"[""LATAM""]","[""not_disclosed""]","[""not_disclosed""]",https://17sigma.com/,,"[{""kind"":""official_portfolio"",""title"":""17Sigma"",""url"":""https://17sigma.com/""},{""kind"":""official_activity"",""title"":""Neofin levanta R$ 35 milhões em rodada seed"",""url"":""https://www.neofin.com.br/release/janeiro-2025""}]",2026-07-30,funds/multi-country/17-sigma.md,2026-07-27,2026-07-27,CC0-1.0
fund:500-latam-500-global,500 LatAm (500 Global),fund,500 LatAm is 500 Global's early-stage strategy for technology companies founded in Spanish-speaking Latin America.,[],500 Global,region,LATAM,"[""LATAM""]","[""pre_seed"",""seed""]","[""technology"",""sector_agnostic""]",https://500.co/latam,https://latam.aplica.500.co/en/sites/latam,"[{""kind"":""official_thesis"",""title"":""500 LatAm strategy"",""url"":""https://500.co/latam""},{""kind"":""official_application"",""title"":""Current investment offer and application"",""url"":""https://latam.aplica.500.co/en/sites/latam""},{""kind"":""secondary"",""title"":""500 LatAm FAQ"",""url"":""https://latam.aplica.500.co/es/faq""},{""kind"":""official_portfolio"",""title"":""Official portfolio"",""url"":""https://500.co/latam-companies""}]",2026-07-25,funds/regional/500-latam-500-global.md,2026-07-27,2026-07-27,CC0-1.0
fund:a-b-seed-ventures,A.B.Seed Ventures,fund,A.B.Seed Ventures is an investment organization focused on B2B software in Brazil.,[],,country,BR,"[""BR""]","[""pre_seed"",""seed""]","[""b2b_software""]",https://abseed.com.br/,https://abseed.com.br/contact-us/,"[{""kind"":""official_portfolio"",""title"":""Portfolio"",""url"":""https://abseed.com.br/portfolio/""},{""kind"":""official_thesis"",""title"":""About or investment thesis"",""url"":""https://abseed.com.br/about-us/""},{""kind"":""official_application"",""title"":""Contact or application page"",""url"":""https://abseed.com.br/contact-us/""}]",2026-07-26,funds/brazil/a.b.seed-ventures.md,2026-07-27,2026-07-27,CC0-1.0
fund:abastibletec,AbastibleTec,fund,AbastibleTec is a Chile-based corporate investment unit backing energy-intelligence startups.,"[""Abastible Tec""]",Abastible,country,CL,"[""CL"",""CO"",""EC"",""ES"",""PE"",""PT""]","[""not_disclosed""]","[""energy_intelligence"",""energy_efficiency"",""decarbonization""]",https://abastible.cl/lanzamiento-abastible-tec-innovacion-e-inteligencia-energetica/,,"[{""kind"":""official_thesis"",""title"":""AbastibleTec launch and regional scope"",""url"":""https://abastible.cl/lanzamiento-abastible-tec-innovacion-e-inteligencia-energetica/""},{""kind"":""official_activity"",""title"":""AbastibleTec first startup investment"",""url"":""https://www.empresascopec.cl/en/noticia/abastibletec-completes-its-first-investment-in-startups/""},{""kind"":""official_activity"",""title"":""AbastibleTec second startup investment"",""url"":""https://www.empresascopec.cl/en/noticia/abastibletec-selects-zensi-for-its-second-startup-investment/""}]",2026-07-30,funds/chile/abastibletec.md,2026-07-27,2026-07-27,CC0-1.0
